epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
116,2296.86,0.27848,0.71827,0.81154,0.88664,0.99487,0.95003,0.94264,0.21484,0.37424,0.83558,0.000137751,0.000137751,0.000137751
117,2316.65,0.2763,0.71561,0.81169,0.89464,0.99345,0.94987,0.94194,0.21608,0.37344,0.8329,0.000137018,0.000137018,0.000137018
118,2336.52,0.27279,0.69073,0.81001,0.90166,0.99101,0.95125,0.94394,0.21592,0.36512,0.83267,0.000136286,0.000136286,0.000136286
119,2356.37,0.28594,0.70707,0.81149,0.90376,0.99436,0.95093,0.94107,0.22658,0.36533,0.83681,0.000135553,0.000135553,0.000135553
120,2376.19,0.28081,0.70588,0.80708,0.89639,0.9975,0.95095,0.94327,0.21783,0.36034,0.83355,0.000134821,0.000134821,0.000134821
121,2396.19,0.2723,0.70868,0.80649,0.89106,0.98795,0.95194,0.94621,0.21458,0.36565,0.83445,0.000134088,0.000134088,0.000134088
122,2415.81,0.28193,0.71208,0.8112,0.8937,0.99512,0.95347,0.94589,0.21904,0.36683,0.83565,0.000133355,0.000133355,0.000133355
123,2435.88,0.27095,0.68219,0.80871,0.89916,0.99676,0.95099,0.94462,0.21465,0.36301,0.83628,0.000132623,0.000132623,0.000132623
124,2455.32,0.26973,0.68547,0.80922,0.90606,0.99071,0.95349,0.94962,0.20821,0.36332,0.83632,0.00013189,0.00013189,0.00013189
125,2475.12,0.2734,0.69797,0.80754,0.90015,0.99335,0.95298,0.9476,0.20891,0.36709,0.83676,0.000131158,0.000131158,0.000131158
126,2495.06,0.27042,0.71351,0.80775,0.89561,0.99637,0.95305,0.94529,0.20859,0.35385,0.83518,0.000130425,0.000130425,0.000130425
127,2514.86,0.27532,0.7088,0.81209,0.89886,0.99376,0.95542,0.9493,0.20485,0.36805,0.83687,0.000129692,0.000129692,0.000129692
128,2534.59,0.26676,0.68782,0.80892,0.89708,0.98306,0.95355,0.9482,0.20852,0.36597,0.83391,0.00012896,0.00012896,0.00012896
129,2554.6,0.26995,0.68878,0.80655,0.90349,0.9872,0.95514,0.94919,0.20259,0.35339,0.83797,0.000128227,0.000128227,0.000128227
130,2574.65,0.28227,0.68806,0.81258,0.89535,0.98803,0.9535,0.94426,0.22592,0.36872,0.83998,0.000127495,0.000127495,0.000127495
131,2594.21,0.27264,0.67477,0.80695,0.89851,0.99633,0.95338,0.94608,0.22083,0.354,0.83692,0.000126762,0.000126762,0.000126762
132,2613.93,0.27854,0.70333,0.80997,0.90003,0.98803,0.95472,0.95074,0.19418,0.35533,0.83466,0.000126029,0.000126029,0.000126029
133,2633.8,0.27107,0.68607,0.80622,0.90328,0.98913,0.95283,0.94627,0.21575,0.36535,0.83721,0.000125297,0.000125297,0.000125297
134,2653.52,0.26487,0.69307,0.80653,0.89927,0.99266,0.95327,0.9464,0.1901,0.35022,0.83833,0.000124564,0.000124564,0.000124564
135,2673.36,0.26131,0.67975,0.81211,0.89726,0.9891,0.95495,0.94782,0.20824,0.35733,0.83625,0.000123832,0.000123832,0.000123832
136,2693.28,0.26368,0.66571,0.80417,0.90369,0.99358,0.95333,0.9466,0.20978,0.35849,0.83965,0.000123099,0.000123099,0.000123099
137,2712.88,0.26624,0.68256,0.8068,0.8961,0.99282,0.95359,0.94993,0.19238,0.35942,0.8389,0.000122366,0.000122366,0.000122366
138,2732.24,0.2581,0.66964,0.81107,0.89722,0.99063,0.95505,0.94843,0.20252,0.35988,0.83951,0.000121634,0.000121634,0.000121634
139,2751.81,0.26034,0.66423,0.80631,0.89505,0.99367,0.95564,0.94943,0.20877,0.35336,0.83998,0.000120901,0.000120901,0.000120901
140,2771.39,0.26669,0.67942,0.81233,0.89566,0.99501,0.95511,0.95048,0.20211,0.3594,0.84067,0.000120169,0.000120169,0.000120169
141,2790.65,0.26019,0.66644,0.80172,0.90016,0.99157,0.95293,0.94798,0.20879,0.36082,0.84135,0.000119436,0.000119436,0.000119436
142,2810.23,0.26265,0.66934,0.81227,0.89169,0.99157,0.95398,0.94959,0.18676,0.35314,0.83923,0.000118703,0.000118703,0.000118703
143,2829.84,0.25596,0.65502,0.80653,0.89966,0.9935,0.95382,0.94767,0.19546,0.36148,0.8438,0.000117971,0.000117971,0.000117971
144,2849.93,0.24878,0.64152,0.80416,0.8978,0.98752,0.9531,0.94878,0.19198,0.35585,0.84216,0.000117238,0.000117238,0.000117238
145,2869.63,0.25969,0.65361,0.80775,0.8967,0.99475,0.95333,0.94738,0.20733,0.35971,0.84588,0.000116506,0.000116506,0.000116506
146,2889.32,0.25707,0.65686,0.80338,0.89866,0.9905,0.95162,0.94811,0.177,0.34108,0.84248,0.000115773,0.000115773,0.000115773
147,2909.26,0.2596,0.64526,0.807,0.89958,0.99022,0.95374,0.94844,0.18847,0.34921,0.84704,0.00011504,0.00011504,0.00011504
148,2929.28,0.25797,0.6406,0.80464,0.90275,0.99218,0.95267,0.94876,0.18336,0.34947,0.84337,0.000114308,0.000114308,0.000114308
149,2948.79,0.25906,0.65291,0.80859,0.90342,0.98901,0.9512,0.94588,0.19057,0.3445,0.84557,0.000113575,0.000113575,0.000113575
150,2968.48,0.25727,0.63375,0.80445,0.8968,0.98777,0.95471,0.94988,0.18306,0.34498,0.84478,0.000112843,0.000112843,0.000112843
151,2988.12,0.2562,0.63721,0.80767,0.90373,0.98946,0.95144,0.94666,0.19442,0.34527,0.84651,0.00011211,0.00011211,0.00011211
152,3007.92,0.2582,0.64949,0.80341,0.89624,0.98961,0.95161,0.94688,0.19144,0.34703,0.84543,0.000111377,0.000111377,0.000111377
153,3027.74,0.24927,0.62882,0.80721,0.89712,0.98196,0.95227,0.94873,0.19498,0.35229,0.84967,0.000110645,0.000110645,0.000110645
154,3047.67,0.24987,0.623,0.80545,0.90052,0.99728,0.95357,0.95019,0.18179,0.33665,0.84718,0.000109912,0.000109912,0.000109912
155,3067.24,0.25529,0.62561,0.80428,0.90231,0.99139,0.95334,0.94945,0.18916,0.34041,0.85036,0.00010918,0.00010918,0.00010918
156,3086.88,0.24819,0.62593,0.80759,0.89813,0.98883,0.95291,0.94927,0.18222,0.34109,0.85171,0.000108447,0.000108447,0.000108447
157,3106.31,0.24248,0.62062,0.80638,0.90107,0.99301,0.9519,0.94679,0.19534,0.34116,0.85383,0.000107714,0.000107714,0.000107714
158,3125.64,0.25973,0.62035,0.80735,0.89463,0.99574,0.9546,0.94981,0.19915,0.34312,0.85363,0.000106982,0.000106982,0.000106982
159,3145.32,0.25447,0.60386,0.80167,0.90253,0.98741,0.95299,0.94832,0.19446,0.3356,0.85376,0.000106249,0.000106249,0.000106249
160,3164.7,0.24929,0.61233,0.80823,0.89753,0.98496,0.95424,0.94792,0.18404,0.33675,0.85432,0.000105517,0.000105517,0.000105517
161,3184.37,0.24894,0.61944,0.80441,0.9016,0.99047,0.95414,0.95056,0.18453,0.3325,0.85246,0.000104784,0.000104784,0.000104784
162,3203.84,0.24913,0.61005,0.79892,0.89708,0.99391,0.95305,0.9496,0.18483,0.33656,0.85416,0.000104051,0.000104051,0.000104051
163,3223.51,0.24855,0.61408,0.80801,0.90046,0.98785,0.95374,0.94968,0.18662,0.32684,0.85583,0.000103319,0.000103319,0.000103319
164,3243.23,0.25249,0.59946,0.8,0.90719,0.99224,0.9531,0.9475,0.1955,0.33138,0.85506,0.000102586,0.000102586,0.000102586
165,3262.83,0.24815,0.61438,0.80309,0.90218,0.98996,0.95199,0.94833,0.18963,0.33202,0.85287,0.000101854,0.000101854,0.000101854
166,3282.88,0.25133,0.59692,0.80686,0.90091,0.98805,0.95238,0.94795,0.19128,0.33058,0.85574,0.000101121,0.000101121,0.000101121
167,3302.28,0.24325,0.59004,0.80152,0.89775,0.99726,0.95205,0.94885,0.18557,0.32341,0.85737,0.000100388,0.000100388,0.000100388
168,3321.94,0.24375,0.59109,0.80487,0.89895,0.99599,0.95148,0.94862,0.19251,0.33491,0.85478,9.96558e-05,9.96558e-05,9.96558e-05
169,3341.38,0.2429,0.60874,0.80748,0.89682,0.99281,0.95236,0.94965,0.18364,0.323,0.85866,9.89232e-05,9.89232e-05,9.89232e-05
170,3361.31,0.24117,0.59915,0.80808,0.90071,0.99552,0.95164,0.94735,0.20641,0.32914,0.85698,9.81906e-05,9.81906e-05,9.81906e-05
171,3381.31,0.24182,0.60044,0.80922,0.90089,0.99241,0.95227,0.94895,0.17712,0.32029,0.85915,9.7458e-05,9.7458e-05,9.7458e-05
172,3401.33,0.24465,0.59935,0.80292,0.9002,0.99597,0.95195,0.94899,0.17376,0.31781,0.85915,9.67254e-05,9.67254e-05,9.67254e-05
173,3421.16,0.24923,0.58114,0.8038,0.90077,0.98767,0.95325,0.94929,0.18481,0.31955,0.85761,9.59928e-05,9.59928e-05,9.59928e-05
174,3440.83,0.23881,0.58664,0.80612,0.90057,0.99623,0.95221,0.9479,0.18329,0.31508,0.85722,9.52602e-05,9.52602e-05,9.52602e-05
175,3460.48,0.2388,0.59024,0.80151,0.90097,0.99652,0.95174,0.94709,0.18436,0.322,0.85941,9.45276e-05,9.45276e-05,9.45276e-05
176,3480.2,0.23768,0.59401,0.80981,0.90782,0.99456,0.95222,0.94827,0.18495,0.31473,0.85992,9.3795e-05,9.3795e-05,9.3795e-05
177,3500.3,0.24212,0.58944,0.80272,0.90687,0.99312,0.95254,0.94922,0.18009,0.31636,0.8604,9.30624e-05,9.30624e-05,9.30624e-05
178,3519.98,0.23996,0.57876,0.80521,0.90102,0.99117,0.95292,0.94852,0.17827,0.31341,0.85893,9.23298e-05,9.23298e-05,9.23298e-05
179,3539.6,0.24362,0.58991,0.80276,0.90419,0.99362,0.95534,0.95201,0.1805,0.31466,0.85863,9.15972e-05,9.15972e-05,9.15972e-05
180,3559.37,0.24851,0.59094,0.80482,0.9046,0.9878,0.95243,0.94761,0.1903,0.3191,0.85827,9.08646e-05,9.08646e-05,9.08646e-05
181,3579.01,0.25027,0.59681,0.80736,0.90275,0.99266,0.95023,0.9461,0.1778,0.30966,0.85828,9.0132e-05,9.0132e-05,9.0132e-05
